X,Y,Z
88.1803,-9.7967,-0.0292
88.3327,-8.3123,-0.0292
88.4596,-6.8255,-0.0292
88.5620,-5.3368,-0.0292
88.6399,-3.8467,-0.0292
88.6914,-2.3553,-0.0292
88.7183,-0.8634,-0.0292
88.7233,-0.0000,-0.0292
88.7233,-0.0000,-0.0292
88.6959,1.5320,-0.0300
88.6427,3.0631,-0.0309
88.5635,4.5929,-0.0317
88.4576,6.1208,-0.0326
88.3251,7.6464,-0.0335
88.1668,9.1693,-0.0343
87.9825,10.6890,-0.0352
87.7711,12.2050,-0.0361
87.5344,13.7170,-0.0370
87.2718,15.2245,-0.0379
86.9826,16.7269,-0.0389
86.6679,18.2239,-0.0398
86.3278,19.7152,-0.0407
85.9617,21.2000,-0.0417
85.5700,22.6781,-0.0427
85.1535,24.1490,-0.0436
84.7113,25.6123,-0.0446
84.2439,27.0675,-0.0456
83.7521,28.5144,-0.0465
83.2350,29.9522,-0.0475
82.6931,31.3806,-0.0486
82.1274,32.7994,-0.0495
81.5369,34.2080,-0.0506
80.9221,35.6058,-0.0516
80.2839,36.9929,-0.0526
79.6217,38.3685,-0.0537
78.9358,39.7321,-0.0548
78.2270,41.0837,-0.0558
77.4948,42.4226,-0.0569
76.7396,43.7483,-0.0579
75.9621,45.0609,-0.0590
75.1621,46.3596,-0.0601
74.3396,47.6439,-0.0612
73.4956,48.9140,-0.0623
72.6299,50.1690,-0.0634
71.7423,51.4085,-0.0645
70.8303,52.6382,-0.0656
69.9044,53.8403,-0.0668
68.9533,55.0309,-0.0681
67.9826,56.2052,-0.0694
66.9919,57.3624,-0.0706
65.9810,58.5019,-0.0719
64.9513,59.6238,-0.0732
63.9025,60.7277,-0.0744
62.8346,61.8129,-0.0758
61.7487,62.8796,-0.0770
60.6446,63.9273,-0.0783
59.5225,64.9553,-0.0797
58.3834,65.9640,-0.0810
57.2271,66.9527,-0.0823
56.0539,67.9208,-0.0837
54.8646,68.8689,-0.0850
53.6593,69.7961,-0.0863
52.4381,70.7018,-0.0877
51.2019,71.5867,-0.0891
49.9507,72.4498,-0.0905
48.6849,73.2909,-0.0919
47.4052,74.1103,-0.0932
46.1115,74.9071,-0.0946
44.8045,75.6813,-0.0961
43.4847,76.4332,-0.0974
42.1521,77.1615,-0.0989
40.8073,77.8668,-0.1003
39.4510,78.5491,-0.1017
38.0831,79.2073,-0.1032
36.7042,79.8417,-0.1046
35.3150,80.4527,-0.1060
33.9154,81.0389,-0.1075
32.5062,81.6011,-0.1090
31.0878,82.1391,-0.1104
29.6603,82.6517,-0.1120
28.2246,83.1401,-0.1134
26.7809,83.6040,-0.1149
25.3294,84.0417,-0.1164
23.8707,84.4543,-0.1180
22.4054,84.8418,-0.1196
20.9335,85.2028,-0.1213
19.4560,85.5388,-0.1230
17.9732,85.8497,-0.1246
16.4854,86.1341,-0.1263
14.9932,86.3931,-0.1279
13.4969,86.6266,-0.1296
11.9970,86.8336,-0.1313
10.4941,87.0152,-0.1330
8.9884,87.1708,-0.1347
7.4805,87.2998,-0.1364
5.9708,87.4033,-0.1381
4.4598,87.4809,-0.1398
2.9479,87.5317,-0.1416
1.4356,87.5569,-0.1433
-0.0768,87.5561,-0.1451
-1.5886,87.5289,-0.1468
-3.0996,87.4757,-0.1486
-4.6092,87.3966,-0.1503
-6.1170,87.2912,-0.1521
-7.6225,87.1603,-0.1539
-9.1253,87.0030,-0.1557
-10.6250,86.8198,-0.1575
-12.1211,86.6112,-0.1593
-13.6131,86.3768,-0.1611
-15.1006,86.1162,-0.1629
-16.5833,85.8305,-0.1647
-18.0606,85.5193,-0.1665
-19.5320,85.1824,-0.1684
-20.9973,84.8205,-0.1702
-22.4558,84.4333,-0.1720
-23.9073,84.0209,-0.1739
-25.3513,83.5840,-0.1757
-26.7872,83.1220,-0.1776
-28.2147,82.6351,-0.1795
-29.6336,82.1243,-0.1813
-31.0430,81.5887,-0.1833
-32.4424,81.0279,-0.1854
-33.8320,80.4437,-0.1874
-35.2111,79.8358,-0.1894
-36.5790,79.2037,-0.1915
-37.9358,78.5486,-0.1935
-39.2810,77.8703,-0.1955
-40.6139,77.1688,-0.1976
-41.9344,76.4447,-0.1997
-43.2420,75.6980,-0.2018
-44.5362,74.9287,-0.2039
-45.8171,74.1378,-0.2059
-47.0838,73.3248,-0.2080
-48.3358,72.4898,-0.2102
-49.5734,71.6340,-0.2123
-50.7959,70.7571,-0.2143
-52.0026,69.8589,-0.2165
-53.1936,68.9404,-0.2186
-54.3685,68.0017,-0.2208
-55.5267,67.0429,-0.2229
-56.6682,66.0645,-0.2251
-57.7923,65.0666,-0.2272
-58.8988,64.0494,-0.2294
-59.9878,63.0139,-0.2315
-61.0583,61.9596,-0.2337
-62.1102,60.8870,-0.2360
-63.1436,59.7969,-0.2381
-64.1579,58.6892,-0.2403
-65.1524,57.5641,-0.2425
-66.1275,56.4224,-0.2447
-67.0826,55.2641,-0.2469
-68.0174,54.0897,-0.2492
-68.9317,52.8995,-0.2514
-69.8251,51.6938,-0.2536
-70.6973,50.4730,-0.2559
-71.5487,49.2378,-0.2581
-72.3782,47.9881,-0.2603
-73.1854,46.7241,-0.2627
-73.9706,45.4465,-0.2651
-74.7336,44.1559,-0.2674
-75.4735,42.8521,-0.2699
-76.1911,41.5362,-0.2724
-76.8859,40.2083,-0.2748
-77.5574,38.8687,-0.2772
-78.2055,37.5180,-0.2797
-78.8303,36.1565,-0.2821
-79.4311,34.7845,-0.2846
-80.0086,33.4028,-0.2870
-80.5618,32.0114,-0.2895
-81.0904,30.6107,-0.2920
-81.5953,29.2015,-0.2945
-82.0758,27.7840,-0.2969
-82.5311,26.3585,-0.2995
-82.9619,24.9256,-0.3020
-83.3681,23.4858,-0.3045
-83.7492,22.0394,-0.3070
-84.1052,20.5867,-0.3095
-84.4359,19.1284,-0.3121
-84.7414,17.6648,-0.3146
-85.0220,16.1964,-0.3171
-85.2767,14.7235,-0.3197
-85.5057,13.2466,-0.3223
-85.7096,11.7663,-0.3248
-85.8881,10.2829,-0.3273
-86.0403,8.7968,-0.3300
-86.1671,7.3085,-0.3325
-86.2683,5.8185,-0.3351
-86.3438,4.3271,-0.3377
-86.3932,2.8349,-0.3403
-86.4171,1.3423,-0.3429
-86.4150,-0.1503,-0.3456
-86.3877,-1.6425,-0.3481
-86.3342,-3.1337,-0.3507
-86.2547,-4.6236,-0.3535
-86.1500,-6.1105,-0.3561
-86.0193,-7.5975,-0.3588
-85.8621,-9.0805,-0.3617
-85.6798,-10.5604,-0.3645
-85.4724,-12.0368,-0.3672
-85.2393,-13.5092,-0.3700
-84.9806,-14.9770,-0.3729
-84.6969,-16.4400,-0.3757
-84.3879,-17.8976,-0.3785
-84.0543,-19.3496,-0.3813
-83.6952,-20.7953,-0.3842
-83.3112,-22.2343,-0.3871
-82.9029,-23.6663,-0.3899
-82.4702,-25.0910,-0.3927
-82.0123,-26.5076,-0.3957
-81.5304,-27.9159,-0.3985
-81.0246,-29.3156,-0.4014
-80.4948,-30.7062,-0.4042
-79.9407,-32.0870,-0.4072
-79.3631,-33.4580,-0.4101
-78.7621,-34.8186,-0.4130
-78.1382,-36.1686,-0.4158
-77.4905,-37.5071,-0.4188
-76.8200,-38.8341,-0.4218
-76.1271,-40.1493,-0.4247
-75.4120,-41.4523,-0.4275
-74.6738,-42.7422,-0.4306
-73.9138,-44.0191,-0.4336
-73.1324,-45.2827,-0.4365
-72.3293,-46.5324,-0.4394
-71.5045,-47.7677,-0.4425
-70.6588,-48.9885,-0.4454
-69.7923,-50.1943,-0.4484
-68.9055,-51.3850,-0.4514
-67.9981,-52.5598,-0.4544
-67.0705,-53.7185,-0.4575
-66.1235,-54.8612,-0.4605
-65.1561,-55.9889,-0.4634
-64.1710,-57.0955,-0.4667
-63.1660,-58.1867,-0.4698
-62.1429,-59.2604,-0.4729
-61.1013,-60.3160,-0.4761
-60.0415,-61.3531,-0.4794
-58.9644,-62.3718,-0.4825
-57.8700,-63.3715,-0.4857
-56.7589,-64.3523,-0.4889
-55.6308,-65.3133,-0.4921
-54.4865,-66.2545,-0.4954
-53.3265,-67.1760,-0.4986
-52.1511,-68.0773,-0.5017
-50.9600,-68.9575,-0.5051
-49.7543,-69.8171,-0.5083
-48.5342,-70.6560,-0.5115
-47.3000,-71.4734,-0.5147
-46.0518,-72.2690,-0.5181
-44.7904,-73.0430,-0.5214
-43.5161,-73.7951,-0.5246
-42.2291,-74.5251,-0.5279
-40.9298,-75.2322,-0.5312
-39.6187,-75.9169,-0.5346
-38.2963,-76.5790,-0.5378
-36.9629,-77.2181,-0.5411
-35.6185,-77.8334,-0.5445
-34.2641,-78.4257,-0.5478
-32.9000,-78.9947,-0.5511
-31.5264,-79.5398,-0.5544
-30.1436,-80.0607,-0.5579
-28.7524,-80.5579,-0.5612
-27.3530,-81.0310,-0.5645
-25.9459,-81.4798,-0.5679
-24.5313,-81.9039,-0.5713
-23.1098,-82.3035,-0.5748
-21.6820,-82.6789,-0.5781
-20.2481,-83.0294,-0.5815
-18.8084,-83.3544,-0.5850
-17.3635,-83.6547,-0.5885
-15.9140,-83.9303,-0.5919
-14.4600,-84.1801,-0.5955
-13.0021,-84.4048,-0.5991
-11.5408,-84.6046,-0.6026
-10.0765,-84.7792,-0.6061
-8.6097,-84.9281,-0.6097
-7.1406,-85.0516,-0.6134
-5.6699,-85.1499,-0.6170
-4.1979,-85.2232,-0.6204
