X,Y,Z
-73.8048,73.6053,-15.0826
-73.2955,72.9508,-15.7120
-73.8383,-73.6544,-15.0379
-73.9693,-73.9779,-14.7921
-73.6053,-73.8048,-15.0826
-72.9508,-73.2955,-15.7120
73.6544,-73.8383,-15.0379
73.9779,-73.9693,-14.7921
73.8048,-73.6053,-15.0826
73.2955,-72.9508,-15.7120
73.2955,-0.4508,-15.7120
72.8759,-0.0312,-16.2120
73.4188,73.2348,-15.5379
73.5497,73.5584,-15.2921
73.1858,73.3853,-15.5826
72.5312,72.8759,-16.2120
-73.2348,73.4188,-15.5379
-73.5584,73.5497,-15.2921
-73.3853,73.1858,-15.5826
-72.8759,72.5312,-16.2120
-73.4188,-73.2348,-15.5379
-73.5497,-73.5584,-15.2921
-73.1858,-73.3853,-15.5826
-72.5312,-72.8759,-16.2120
73.2348,-73.4188,-15.5379
73.5584,-73.5497,-15.2921
73.3853,-73.1858,-15.5826
72.8759,-72.5312,-16.2120
72.8759,-0.0312,-16.2120
72.4564,0.3883,-16.7120
72.9992,72.8153,-16.0379
73.1302,73.1388,-15.7921
72.7663,72.9657,-16.0826
72.1117,72.4564,-16.7120
-72.8153,72.9992,-16.0379
-73.1388,73.1302,-15.7921
-72.9657,72.7663,-16.0826
-72.4564,72.1117,-16.7120
-72.9992,-72.8153,-16.0379
-73.1302,-73.1388,-15.7921
-72.7663,-72.9657,-16.0826
-72.1117,-72.4564,-16.7120
72.8153,-72.9992,-16.0379
73.1388,-73.1302,-15.7921
72.9657,-72.7663,-16.0826
72.4564,-72.1117,-16.7120
72.4564,0.3883,-16.7120
72.0368,0.8079,-17.2120
72.5797,72.3957,-16.5379
72.7106,72.7193,-16.2921
72.3467,72.5462,-16.5826
71.6921,72.0368,-17.2120
-72.3957,72.5797,-16.5379
-72.7193,72.7106,-16.2921
-72.5462,72.3467,-16.5826
-72.0368,71.6921,-17.2120
-72.5797,-72.3957,-16.5379
-72.7106,-72.7193,-16.2921
-72.3467,-72.5462,-16.5826
-71.6921,-72.0368,-17.2120
72.3957,-72.5797,-16.5379
72.7193,-72.7106,-16.2921
72.5462,-72.3467,-16.5826
72.0368,-71.6921,-17.2120
72.0368,0.8079,-17.2120
71.6173,1.2274,-17.7120
72.1601,71.9762,-17.0379
72.2911,72.2997,-16.7921
71.9271,72.1266,-17.0826
71.2726,71.6173,-17.7120
-71.9762,72.1601,-17.0379
-72.2997,72.2911,-16.7921
-72.1266,71.9271,-17.0826
-71.6173,71.2726,-17.7120
-72.1601,-71.9762,-17.0379
-72.2911,-72.2997,-16.7921
-71.9271,-72.1266,-17.0826
-71.2726,-71.6173,-17.7120
71.9762,-72.1601,-17.0379
72.2997,-72.2911,-16.7921
